"sections_per_program_year_id","academic_year_id","program_id","year_level","section_name","created_at","updated_at"
"95","1","1","1","1","2024-12-15 21:43:16","2024-12-15 21:43:16"
"96","1","1","2","1","2024-12-15 21:43:16","2024-12-15 21:43:16"
"97","1","1","3","1","2024-12-15 21:43:16","2024-12-15 21:43:16"
"98","1","1","4","1","2024-12-15 21:43:16","2024-12-15 21:43:16"
"99","1","2","1","1","2024-12-15 21:43:16","2024-12-15 21:43:16"
"100","1","2","2","1","2024-12-15 21:43:16","2024-12-15 21:43:16"
"101","1","2","3","1","2024-12-15 21:43:16","2024-12-15 21:43:16"
"102","1","3","1","1","2024-12-15 21:43:16","2024-12-15 21:43:16"
"103","1","3","2","1","2024-12-15 21:43:16","2024-12-15 21:43:16"
"104","1","3","3","1","2024-12-15 21:43:16","2024-12-15 21:43:16"
"105","1","3","4","1","2024-12-15 21:43:16","2024-12-15 21:43:16"
"106","1","4","1","1","2024-12-15 21:43:16","2024-12-15 21:43:16"
"107","1","4","2","1","2024-12-15 21:43:16","2024-12-15 21:43:16"
"108","1","4","3","1","2024-12-15 21:43:16","2024-12-15 21:43:16"
